date,lat,lon,ndvi
2021-01-01,7.07477233,93.76222661,0.92
2021-01-01,7.971844621,93.5363132,0.4639
2021-01-01,8.196674769,77.36763771,0.8416
2021-01-01,8.196674769,77.59251681,0.5603
2021-01-01,8.421504917,77.14379768,0.8477
2021-01-01,8.421504917,77.36653288,0.7878
2021-01-01,8.421504917,77.59154089,0.4624
2021-01-01,8.421504917,77.8165489,0.566
2021-01-01,8.421504917,78.04155691,0.7704
2021-01-01,8.646335065,76.91861182,0.8017
2021-01-01,8.646335065,77.14375236,0.8675
2021-01-01,8.646335065,77.36661875,0.2534
2021-01-01,8.646335065,77.59175929,0.4688
2021-01-01,8.646335065,77.81689983,0.2247
2021-01-01,8.646335065,78.04204037,0.1487
2021-01-01,8.871165213,76.69434217,0.6617
2021-01-01,8.871165213,76.91734335,0.8309
2021-01-01,8.871165213,77.14262004,0.8703
2021-01-01,8.871165213,77.36789674,0.1178
2021-01-01,8.871165213,77.59317343,0.7424
2021-01-01,8.871165213,77.81617461,0.5
2021-01-01,8.871165213,78.04145131,0.7645
2021-01-01,9.095995361,76.69411887,0.8153
2021-01-01,9.095995361,76.91725842,0.8459
2021-01-01,9.095995361,77.14267491,0.8579
2021-01-01,9.095995361,77.3680914,0.7013
2021-01-01,9.095995361,77.59123096,0.6804
2021-01-01,9.095995361,77.81664745,0.7537
2021-01-01,9.095995361,78.04206394,0.7021
2021-01-01,9.095995361,78.2652035,0.414
2021-01-01,9.320825509,76.46951703,0.8301
2021-01-01,9.320825509,76.69279858,0.8227
2021-01-01,9.320825509,76.91835851,0.8755
2021-01-01,9.320825509,77.14391845,0.7994
2021-01-01,9.320825509,77.3672,0.8956
2021-01-01,9.320825509,77.59275993,0.1516
2021-01-01,9.320825509,77.81604148,0.6407
2021-01-01,9.320825509,78.04160142,0.6376
2021-01-01,9.320825509,78.26488297,0.3092
2021-01-01,9.320825509,78.4904429,0.2504
2021-01-01,9.320825509,78.71600284,0.7318
2021-01-01,9.320825509,78.93928439,0.4853
2021-01-01,9.545655658,76.46923111,0.8981
2021-01-01,9.545655658,76.69493814,0.8389
