date,lat,lon,soil_moisture
2021-01-01,7.05177498,93.7391999,0.3490123
2021-01-01,7.950090264,93.55953684,0.33339816
2021-01-01,8.21958485,77.38986173,0.14268294
2021-01-01,8.21958485,77.56952478,0.17652911
2021-01-01,8.21958485,93.55953684,0.29633567
2021-01-01,8.399247907,77.12036714,0.1381805
2021-01-01,8.399247907,77.38986173,0.27394012
2021-01-01,8.399247907,77.56952478,0.187595
2021-01-01,8.399247907,77.83901937,0.1967034
2021-01-01,8.399247907,78.01868243,0.19012032
2021-01-01,8.668742492,76.94070408,0.2977689
2021-01-01,8.668742492,77.12036714,0.31517047
2021-01-01,8.668742492,77.38986173,0.2634072
2021-01-01,8.668742492,77.56952478,0.21024776
2021-01-01,8.668742492,77.83901937,0.21726571
2021-01-01,8.668742492,78.01868243,0.22062047
2021-01-01,8.848405549,76.6712095,0.13910256
2021-01-01,8.848405549,76.94070408,0.2926921
2021-01-01,8.848405549,77.12036714,0.30640975
2021-01-01,8.848405549,77.38986173,0.24939418
2021-01-01,8.848405549,77.56952478,0.2079851
2021-01-01,8.848405549,77.83901937,0.4007134
2021-01-01,8.848405549,78.01868243,0.23875554
2021-01-01,9.117900134,76.6712095,0.2896425
2021-01-01,9.117900134,76.94070408,0.31649798
2021-01-01,9.117900134,77.12036714,0.31607726
2021-01-01,9.117900134,77.38986173,0.24232936
2021-01-01,9.117900134,77.56952478,0.20805049
2021-01-01,9.117900134,77.83901937,0.40872428
2021-01-01,9.117900134,78.01868243,0.4214196
2021-01-01,9.117900134,78.28817701,0.24122092
2021-01-01,9.297563191,76.49154644,0.16273299
2021-01-01,9.297563191,76.6712095,0.29254603
2021-01-01,9.297563191,76.94070408,0.30991927
2021-01-01,9.297563191,77.12036714,0.31668326
2021-01-01,9.297563191,77.38986173,0.2516721
2021-01-01,9.297563191,77.56952478,0.37716475
2021-01-01,9.297563191,77.83901937,0.39477992
2021-01-01,9.297563191,78.01868243,0.4120812
2021-01-01,9.297563191,78.28817701,0.25965682
2021-01-01,9.297563191,78.46784007,0.26180068
2021-01-01,9.297563191,78.73733465,0.26441428
2021-01-01,9.297563191,78.91699771,0.23943456
2021-01-01,9.567057776,76.49154644,0.37614024
2021-01-01,9.567057776,76.6712095,0.28374606
2021-01-01,9.567057776,76.94070408,0.31986582
2021-01-01,9.567057776,77.12036714,0.35164988
2021-01-01,9.567057776,77.38986173,0.29090244
2021-01-01,9.567057776,77.56952478,0.25031298
2021-01-01,9.567057776,77.83901937,0.3461676
2021-01-01,9.567057776,78.01868243,0.39222953
2021-01-01,9.567057776,78.28817701,0.34256652
2021-01-01,9.567057776,78.46784007,0.27468672
2021-01-01,9.567057776,78.73733465,0.28184745
2021-01-01,9.746720833,76.49154644,0.2741025
2021-01-01,9.746720833,76.6712095,0.26949328
2021-01-01,9.746720833,76.94070408,0.37251517
2021-01-01,9.746720833,77.12036714,0.3261132
2021-01-01,9.746720833,77.38986173,0.30850238
2021-01-01,9.746720833,77.56952478,0.2457713
2021-01-01,9.746720833,77.83901937,0.3771887
2021-01-01,9.746720833,78.01868243,0.38523448
2021-01-01,9.746720833,78.28817701,0.3147258
2021-01-01,9.746720833,78.46784007,0.2683129
2021-01-01,9.746720833,78.73733465,0.28168178
2021-01-01,9.746720833,78.91699771,0.27545184
2021-01-01,10.01621542,76.49154644,0.30567515
2021-01-01,10.01621542,76.6712095,0.31764892
2021-01-01,10.01621542,76.94070408,0.3136838
2021-01-01,10.01621542,77.12036714,0.32489467
2021-01-01,10.01621542,77.38986173,0.3100326
2021-01-01,10.01621542,77.56952478,0.28990844
2021-01-01,10.01621542,77.83901937,0.24650155
2021-01-01,10.01621542,78.01868243,0.2821112
2021-01-01,10.01621542,78.28817701,0.2975422
2021-01-01,10.01621542,78.46784007,0.31589198
2021-01-01,10.01621542,78.73733465,0.3293568
2021-01-01,10.01621542,78.91699771,0.26982135
2021-01-01,10.01621542,79.1864923,0.25710967
2021-01-01,10.19587847,76.22205186,0.35269183
2021-01-01,10.19587847,76.49154644,0.2930365
2021-01-01,10.19587847,76.6712095,0.30931544
2021-01-01,10.19587847,76.94070408,0.31783202
2021-01-01,10.19587847,77.12036714,0.33868644
2021-01-01,10.19587847,77.38986173,0.29326102
2021-01-01,10.19587847,77.56952478,0.36537623
2021-01-01,10.19587847,77.83901937,0.29624957
