date,lat,lon,ndvi
01-01-2021,7.07477233,93.76222661,0.92
01-01-2021,7.971844621,93.5363132,0.4639
01-01-2021,8.196674769,77.36763771,0.8416
01-01-2021,8.196674769,77.59251681,0.5603
01-01-2021,8.421504917,77.14379768,0.8477
01-01-2021,8.421504917,77.36653288,0.7878
01-01-2021,8.421504917,77.59154089,0.4624
01-01-2021,8.421504917,77.8165489,0.566
01-01-2021,8.421504917,78.04155691,0.7704
01-01-2021,8.646335065,76.91861182,0.8017
01-01-2021,8.646335065,77.14375236,0.8675
01-01-2021,8.646335065,77.36661875,0.2534
01-01-2021,8.646335065,77.59175929,0.4688
01-01-2021,8.646335065,77.81689983,0.2247
01-01-2021,8.646335065,78.04204037,0.1487
01-01-2021,8.871165213,76.69434217,0.6617
01-01-2021,8.871165213,76.91734335,0.8309
01-01-2021,8.871165213,77.14262004,0.8703
01-01-2021,8.871165213,77.36789674,0.1178
01-01-2021,8.871165213,77.59317343,0.7424
01-01-2021,8.871165213,77.81617461,0.5
01-01-2021,8.871165213,78.04145131,0.7645
01-01-2021,9.095995361,76.69411887,0.8153
01-01-2021,9.095995361,76.91725842,0.8459
01-01-2021,9.095995361,77.14267491,0.8579
01-01-2021,9.095995361,77.3680914,0.7013
01-01-2021,9.095995361,77.59123096,0.6804
01-01-2021,9.095995361,77.81664745,0.7537
01-01-2021,9.095995361,78.04206394,0.7021
01-01-2021,9.095995361,78.2652035,0.414
01-01-2021,9.320825509,76.46951703,0.8301
01-01-2021,9.320825509,76.69279858,0.8227
01-01-2021,9.320825509,76.91835851,0.8755
01-01-2021,9.320825509,77.14391845,0.7994
01-01-2021,9.320825509,77.3672,0.8956
01-01-2021,9.320825509,77.59275993,0.1516
01-01-2021,9.320825509,77.81604148,0.6407
01-01-2021,9.320825509,78.04160142,0.6376
01-01-2021,9.320825509,78.26488297,0.3092
01-01-2021,9.320825509,78.4904429,0.2504
01-01-2021,9.320825509,78.71600284,0.7318
01-01-2021,9.320825509,78.93928439,0.4853
01-01-2021,9.545655658,76.46923111,0.8981
01-01-2021,9.545655658,76.69493814,0.8389
01-01-2021,9.545655658,76.91836531,0.8227
01-01-2021,9.545655658,77.14407235,0.6894
01-01-2021,9.545655658,77.36749952,0.7631
01-01-2021,9.545655658,77.59320656,0.6259
01-01-2021,9.545655658,77.81663373,0.5357
01-01-2021,9.545655658,78.04234076,0.5006
01-01-2021,9.545655658,78.26576793,0.5873
01-01-2021,9.545655658,78.49147497,0.5268
01-01-2021,9.545655658,78.71490214,0.6465
01-01-2021,9.768237504,76.46960641,0.7797
01-01-2021,9.768237504,76.69318132,0.7933
01-01-2021,9.768237504,76.9190376,0.8511
01-01-2021,9.768237504,77.14261252,0.8609
01-01-2021,9.768237504,77.36618743,0.5172
01-01-2021,9.768237504,77.59204371,0.6766
01-01-2021,9.768237504,77.81561862,0.6378
01-01-2021,9.768237504,78.04147491,0.2106
01-01-2021,9.768237504,78.26504982,0.5127
01-01-2021,9.768237504,78.49090611,0.216
01-01-2021,9.768237504,78.71448102,0.2538
01-01-2021,9.768237504,78.94033731,0.3368
01-01-2021,9.993067652,76.46938278,0.7384
01-01-2021,9.993067652,76.69311055,0.8087
01-01-2021,9.993067652,76.91912126,0.7828
01-01-2021,9.993067652,77.14284903,0.7175
01-01-2021,9.993067652,77.36657681,0.5793
01-01-2021,9.993067652,77.59258752,0.729
01-01-2021,9.993067652,77.81631529,0.685
01-01-2021,9.993067652,78.04004307,0.9284
01-01-2021,9.993067652,78.26605378,0.7239
01-01-2021,9.993067652,78.48978155,0.1396
01-01-2021,9.993067652,78.71579226,0.1155
01-01-2021,9.993067652,78.93952003,0.2336
01-01-2021,9.993067652,79.16324781,0.6847
01-01-2021,10.2178978,76.2441683,0.6617
01-01-2021,10.2178978,76.4680526,0.8432
01-01-2021,10.2178978,76.69422143,0.8429
01-01-2021,10.2178978,76.91810572,0.8806
01-01-2021,10.2178978,77.14199002,0.8101
01-01-2021,10.2178978,77.36815885,0.798
01-01-2021,10.2178978,77.59204315,0.7877
01-01-2021,10.2178978,77.81592744,0.6714
01-01-2021,10.2178978,78.04209627,0.2236
01-01-2021,10.2178978,78.26598057,0.4323
01-01-2021,10.2178978,78.48986486,0.3184
01-01-2021,10.2178978,78.71374916,0.318
01-01-2021,10.2178978,78.93991799,0.1064
01-01-2021,10.2178978,79.16380228,0.4164
01-01-2021,10.44272795,76.24385435,0.6132
01-01-2021,10.44272795,76.470185,0.8165
01-01-2021,10.44272795,76.69422949,0.8179
01-01-2021,10.44272795,76.91827398,0.7391
