date,lat,lon,sm_surface
01-01-2021,7.05177498,93.7391999,0.3490123
01-01-2021,7.950090264,93.55953684,0.33339816
01-01-2021,8.21958485,77.38986173,0.14268294
01-01-2021,8.21958485,77.56952478,0.17652911
01-01-2021,8.21958485,93.55953684,0.29633567
01-01-2021,8.399247907,77.12036714,0.1381805
01-01-2021,8.399247907,77.38986173,0.27394012
01-01-2021,8.399247907,77.56952478,0.187595
01-01-2021,8.399247907,77.83901937,0.1967034
01-01-2021,8.399247907,78.01868243,0.19012032
01-01-2021,8.668742492,76.94070408,0.2977689
01-01-2021,8.668742492,77.12036714,0.31517047
01-01-2021,8.668742492,77.38986173,0.2634072
01-01-2021,8.668742492,77.56952478,0.21024776
01-01-2021,8.668742492,77.83901937,0.21726571
01-01-2021,8.668742492,78.01868243,0.22062047
01-01-2021,8.848405549,76.6712095,0.13910256
01-01-2021,8.848405549,76.94070408,0.2926921
01-01-2021,8.848405549,77.12036714,0.30640975
01-01-2021,8.848405549,77.38986173,0.24939418
01-01-2021,8.848405549,77.56952478,0.2079851
01-01-2021,8.848405549,77.83901937,0.4007134
01-01-2021,8.848405549,78.01868243,0.23875554
01-01-2021,9.117900134,76.6712095,0.2896425
01-01-2021,9.117900134,76.94070408,0.31649798
01-01-2021,9.117900134,77.12036714,0.31607726
01-01-2021,9.117900134,77.38986173,0.24232936
01-01-2021,9.117900134,77.56952478,0.20805049
01-01-2021,9.117900134,77.83901937,0.40872428
01-01-2021,9.117900134,78.01868243,0.4214196
01-01-2021,9.117900134,78.28817701,0.24122092
01-01-2021,9.297563191,76.49154644,0.16273299
01-01-2021,9.297563191,76.6712095,0.29254603
01-01-2021,9.297563191,76.94070408,0.30991927
01-01-2021,9.297563191,77.12036714,0.31668326
01-01-2021,9.297563191,77.38986173,0.2516721
01-01-2021,9.297563191,77.56952478,0.37716475
01-01-2021,9.297563191,77.83901937,0.39477992
01-01-2021,9.297563191,78.01868243,0.4120812
01-01-2021,9.297563191,78.28817701,0.25965682
01-01-2021,9.297563191,78.46784007,0.26180068
01-01-2021,9.297563191,78.73733465,0.26441428
01-01-2021,9.297563191,78.91699771,0.23943456
01-01-2021,9.567057776,76.49154644,0.37614024
01-01-2021,9.567057776,76.6712095,0.28374606
01-01-2021,9.567057776,76.94070408,0.31986582
01-01-2021,9.567057776,77.12036714,0.35164988
01-01-2021,9.567057776,77.38986173,0.29090244
01-01-2021,9.567057776,77.56952478,0.25031298
01-01-2021,9.567057776,77.83901937,0.3461676
01-01-2021,9.567057776,78.01868243,0.39222953
01-01-2021,9.567057776,78.28817701,0.34256652
01-01-2021,9.567057776,78.46784007,0.27468672
01-01-2021,9.567057776,78.73733465,0.28184745
01-01-2021,9.746720833,76.49154644,0.2741025
01-01-2021,9.746720833,76.6712095,0.26949328
01-01-2021,9.746720833,76.94070408,0.37251517
01-01-2021,9.746720833,77.12036714,0.3261132
01-01-2021,9.746720833,77.38986173,0.30850238
01-01-2021,9.746720833,77.56952478,0.2457713
01-01-2021,9.746720833,77.83901937,0.3771887
01-01-2021,9.746720833,78.01868243,0.38523448
01-01-2021,9.746720833,78.28817701,0.3147258
01-01-2021,9.746720833,78.46784007,0.2683129
01-01-2021,9.746720833,78.73733465,0.28168178
01-01-2021,9.746720833,78.91699771,0.27545184
